 Product_Name , Prices 
Brand new 4GB+64GB 15.6" FHD  Ultra-thin Lapbook Laptop Intel Quad Core Z8350 1920 * 1080 Screen white 4GRAM/64GROM laptop|notebook|tablet,|KSh 21-500|KSh 22-100 
Mini Wireless Bluetooth earphone Blutooth headset Stereo headphones  Earpiece Small Sports Cordless black Small Sports Cordless Hands free Headset earphone,|KSh 479|KSh 988 
Top Quality Retro Wooden Bluetooth Speaker HIFI 3D Dual Loudspeaker Surround Music Player brown portable subwoofer,|KSh 1-999|KSh 2-832 
Men's Big Dial Leather Watch Quartz Business Calendar Analog Casual Red(White Dial) osfm 1| PU Lether Band; 2| 3BAR(no water vapor| no swiming); 3| Dial window meterial: Hardlex; 4| Watchband: high-grade quartz movement,|KSh 789|
hot sell new arrival luxury designer leather men handbag bag|classic men's travel bags|messenger ,|KSh 3-000|KSh 3-500 
Synthetic Wigs Hair Wigs Women's Wigs Long Hair Body wave 27inch black 27inch Synthetic Wigs 27inch,|KSh 1-299|KSh 2-599 
Brand Unisex Retro Aluminum+TR90 Sunglasses Polarized Lens Vintage Eyewear Accessories Sun Glasses black+grey+silver one size ,|KSh 1-030|KSh 1-309 
INFINIX HOT 5 X559C| 5.5" Screen| 16GB ROM+1GB RAM| 8+5MP|  Fingerprint scanner SmartPhone gold Fingerprint scanner| 4000mAh Battery| Dual Speaker 3D Stereo Surrounding,|KSh 9-149|KSh 10-719 
CITYCALL LIFE PRO 7|  5.5" Screen| 13MP + 5MP Camera| 16GB ROM + 1GB RAM| 2600mAh Battery + Free VR Red 3G Network| Android 7.0 Nougat OS| 1.3GHZ Quad core Processor,|KSh 7-999|
CUBOT MANITO 5.0 Inch HD Screen Smartphone Android 6.0 MTK6737  3GB RAM 16GB ROM Mobile Phone black ,|KSh 9-999|
OWWO Carnival 6 - 6 Inch| 8MP + 2MP Camera| Memory: 1GB & 8GB ROM| 3000mAh battery| 2G/3G Smartphone Black OWWO Carnival 6 Smartphone- 6" Camera: 8MP Rear + 2MP Front Camera Memory: 1GB RAM & 8GB ROM| black,|KSh 5-999|
Samsung Galaxy S7 Edge| 5.5" Screen| single SIM|32GB ROM - 4GB RAM| 12MP Camera Smartphone Gold Single SIM| 3600mAh Battery| 12.0 + 5.0 Camera| 4G Network,|KSh 42-000|
Sports Smart Watch V8 Full Screen Bluetooth Smartwatch Support TF SIM Card Anti-lost black one size Anti-lost|Remote Camera,|KSh 1-884|KSh 1-983 
M26 Phone Clock with Sim Card Slot Push Message Bluetooth WristWatch Android System black one size ,|KSh 1-599|KSh 2-400 
360 Degree Finger Ring Mobile Phone Smartphone Stand Holder  with rhainstone decorated Red one size ,|KSh 199|KSh 1-000 
VR Box 3D Glasses Virtual Reality Super TV Box Viewer Glasses Headset black one size one size VR Box 3D Glasses,|KSh 1-199|KSh 2-399 
Original Dell AX210 USB 2.0 Stereo Speakers-1 Pair Soundbar For Laptop Notebook  PC black lenovo speaker| computer speaker,|KSh 1-166|KSh 1-470 
HN 4 Piece/set Fashion Classic Imitation Pearl Silver Plated Clear Crystal Top Elegant Party Gift white one size Kilimall Excellent Shop:IHN Brand Come from CHINA.Company wishes: bring the Chinese products to you and make your life better!,|KSh 399|
HN Brand 5Pcs/set  Crystal Necklace Earring Bracelet Ring Set Rhinestone Simple Party Dress Jewelry gold one size Kilimall Excellent Shop:HN Shop.New Brand|Company wishes: Bring the products to you and make your life better!,|KSh 459|
HN Brand 3 piece New Bridal Pearl crystal Drops Necklace pendant stud earring Women Jewellery Gift white one size Kilimall Excellent Shop:HN Shop.New Brand|Company wishes: Bring the products to you and make your life better!,|KSh 359|
HN Brand 1 pair/Set New Beautiful Hot Daisy flowers Diamond Stud Earrings For Women Jewellery Gift gold one size Kilimall Excellent Shop:HN Shop.New Brand|Company wishes: Bring the products to you and make your life better!,|KSh 139|
HN Brand 1 Piece/Set New Multilayer concave drill crystal Necklaces Pendant Women Jewellery Gift three layers one size Kilimall Excellent Shop:IHN Brand Come from CHINA.Company wishes: bring the Chinese products to you and make your life better!,|KSh 209|
9 Pairs/set Geometric Crystal Stud Earrings Piercing Gold Color New Fashion Earring Women Jewelry gold color 9 pair /set ,|KSh 200|KSh 301 
8pcs/Set Boho Jewelry Stone Midi Ring Sets for Women Anel Vintage Silver Color Flower Rings Gift Blue silver color 8 pieces /set ,|KSh 260|KSh 388 
6 Pairs/Set Summer Style Vinatge Brincos Elephant Stud Earring Boho Flower Crystal Earring Set Women silver color 6 pairs/set ,|KSh 240|KSh 362 
Maxi colar Faceted Beads Necklaces Women Fashion  Long Necklace Statement Jewelry Collares Collier green color 1 piece ,|KSh 620|KSh 919 
9 Pair/Set Oversize Butterfly Earring Set Women Punk Simulated Pearl Crystal Heart Stud Earrings gold color 9 pieces /set ,|KSh 370|KSh 545 
9Pcs/Set Fashion Blue Stone Bohemian Ring Set Vintage Steampunk flower Knuckle Rings Women Jewelry silver color 9 pieces ,|KSh 230|KSh 350 
Punk Turkish Eye Bracelet For Men Women Fashion Wristband Owl Leather Bracelet Stone Vintage Jewelry as shown 1 piece ,|KSh 320|KSh 482 
Handmade Simulated Pearl Collar Necklace Choker Necklace Jewelry white color 1 piece ,|KSh 390|KSh 582 
Wedding Jewelry Finger Crystal Heart Crown Ring Women New Lover Cubic Zirconia Ring Engagement Party gold color size 7 1 piece ,|KSh 300|KSh 451 
Fashion 6 Pair/set Punk Crystal Stud Earrings Set Women Round Flower Fashion Design Jewelry silver color 6 pairs/set ,|KSh 190|KSh 280 
Austrian Crystals Ring Rose Gold Color Flower Ring Engagement anillos Rings for Women wedding ring gold color size 7 1 piece ,|KSh 210|KSh 320 
20 pairs Fashion Korean version of the jewelry explosion set suit earrings pearl bow earrings As shown 20 pair ,|KSh 540|KSh 806 
Boho Collar Choker Water Drop Crystal Beads Choker Necklace pendant Vintage Simulated Pearl silver color 1 piece ,|KSh 440|KSh 659 
6 Pairs/Set Earring Women's Fashion Accessories Flower Rhinestone & Pearl Earring gold one size 6 Pairs/Set Earring,|KSh 329|KSh 659 
6 Pairs/Set Earring Women's Fashion Accessories Earring Rhinestone Earring gold one size 6 Pairs/Set Earring,|KSh 399|KSh 799 
Men's Stainless steel Band Quartz Watches sports luminous Men Watch waterproof Luminous watch Black + Blue one piece ,|KSh 790|KSh 1-177 
Calendar luminous steel strap Multi-functional watch men's waterproof sports   Quartz male watch black + blue one piece ,|KSh 850|KSh 1-264 
NAVIFORCE 2018 Analog Digital Leather Sports Watches Men's Quartz Clock black as picture Leather Sports Watches  Men's Quartz Clock,|KSh 2-700|KSh 4-580 
Naviforce 2018 New Top Leather Strap Sports Watches Men Quartz Clock Sports Military Wrsit Watch black yellow as picture ,|KSh 1-870|KSh 3-690 
Hot sell new arrival luxury designer leather men handbag bag|classic men's travel bags|messenger ,|KSh 2-800|KSh 4-000 
Fashion Hand Bag Wallet for Men Business Zipper Cow Leather Long Section brown osfm Business Men Hand Bag Wallet,|KSh 1-500|KSh 2-099 
Synthetic Wigs Hair Wigs Women's Wigs Hair Curly 16inch brown 16inch Synthetic Wigs Curly 16inch,|KSh 1-299|KSh 2-599 
AOOTUS Synthetic Hair Extensions: Indian wave| 14 Inch 1#Black Synthetic Clip In Hair Extensions Curly Wavy Heat Resistant Hairpiece Natural Hair Extension,|KSh 299|KSh 799 
2018 Mens New Collar Sweatshirts Casual Jacket Men Hit Color Baseball Clothing red size s 50 to 58kg Hit Color Baseball Clothing,|KSh 1-990|KSh 2-725 
2017 New Winter Men's Casual Personality Double Oblique Zipper Slim Sweater Coat black size m 50 to 58 kg casual personality  double oblique   Zipper slim,|KSh 2-255|KSh 2-750 
2018 Men's Spring New Fashion T Shirt High End Street Style Men's Hooded T-shirt black size s 50 to 58kg ,|KSh 1-599|KSh 1-950 
2018 New Mens T Shirt Two Color Stitching Collar Lapel Personalized Short Sleeve T-shirt light grey size s 50 to 58kg ,|KSh 1-230|KSh 1-818 
Valentine's Gift GustOmerD Spring New Sweatpants Loose Fit Trousers Mens Joggers Sportwear Pants grey M waist 28 to 29 GustOmerD 2018 Casual Pants Spring New Elastic Waist Male Sweatpants Loose Fit Trousers Mens Joggers Sportwear Pants For Men,|KSh 1-280|KSh 2-000 
GustOmerD New Men's Fashion Casual Long Sleeved Sweater Sweater Male Personality black size m 50 to 58 kg Men's Fashion Casual    Male Personality,|KSh 1-760|KSh 2-430 
GustOmerD Brand Coat Men Casual Hoodied Patchwork Cotton Padding Parka Men Clothing Jacket Men black white size S 50 to 58kg ,|KSh 1-690|KSh 2-900 
4PCS Natural Bamboo Handle Makeup Brushes Set Cosmetics Tools Kit Powder Blush as picture ,|KSh 449|KSh 699 
Makeup Eyeshadow Palette 32 colors  Eye Shadow Make Up Shadows With Case Cosmetics pink ,|KSh 399|KSh 788 
18 Pcs Makeup Brushes Set  Make Up Brush Eyeliner Lip Brush With High Quality Bag gold ,|KSh 1-499|KSh 2-800 
Men outdoor sports leisure breathable mesh men 's climbing network shoes Gray 44 ,|KSh 3-600|
NATA-18 Casual Mens Leather Belts Automatic Belt Buckle black 3.8*120 ,|KSh 449|KSh 1-400 
NATA-11Casual Mens Leather Belts Automatic Belt Buckle black 3.8*120 ,|KSh 799|KSh 1-600 
NATA-12 Fashion Men Long 110cm Jeans Belt Leather Double Pin Buckle Vintage Belts black 3.8*120 ,|KSh 649|KSh 1-700 
Electric Reciprocating Shaver for Men Beard Shaving Machine as picture ,|KSh 1-599|KSh 3-400 
3D Floating Rechargeable Men Electric Shaver Razor Face Care as picture ,|KSh 1-999|
Men's Fashion Sunglasses Retro Vintage Square Sunglasses Metal Sunglasses black one size Men's Sunglasses Retro Vintage,|KSh 999|KSh 1-999 
Women's Fashion Sunglasses Fashion Accessories Black Color Frame Eyewears black one size Women's Fashion Sunglasses,|KSh 699|KSh 1-399 
Women's Fashion Sunglasses Fashion Accessories Tea Color Frame Eyewears tea one size Women's Fashion Sunglasses,|KSh 699|KSh 1-399 
TECNO Camon CM - 5.7Inch 18:9 Full Display - 16+2GB|13+13MP| 4G LTE Blue ,|KSh 14-999|KSh 15-500 
TECNO Spark K7: 5.5" Screen|16 ROM+1GB RAM| 13MP+5MP| 3000mAh Battery Smartphone champagne gold Fingerprint| Hios 2.1.,|KSh 9-000|
2017 New Arrival Men Casual Business Shirt Long Sleeve dark blue m 2017 New Arrival Men Casual Business Shirt Long Sleeve,|KSh 1-279|
Coffee Tea Milk Breakfast Cup 6 PCS Glass one middle Coffee Tea Milk Breakfast Cup 6 PCS Glass,|KSh 200|KSh 300 
220-250V 3 strength Hair Care baking oil cap steaming hot hair salon membrane electric cap pink normal ,|KSh 950|KSh 2-699 
INFINIX Smart (X5010)| 5.0" Display| 16GB ROM + 1GB RAM| Dual SIM| 3060mAh Battery Sandstone Black 8MP Autofocus camera with flashlight + 2MP Front Camera| Android OS,|KSh 7-999|KSh 9-499 
Party Glass Glass Cup for Wine Coffee Tea Juice Water Cup 12*1 red small Party Glass Glass Cup for Wine Coffee Tea Juice Water Cup 12*1,|KSh 200|KSh 800 
Multi-angle Mini Portable Phone Stand Universal Adjustable Foldable Cell Phone Tablet Desk Stand black 80*38mm ,|KSh 98|
Churchill Branded USB Flash Disk 8GB Blue Unique Card Flash Drive Unique USB Flash Disk 8GB 
Blue card Flash Drive
card size: 5.3cm*8.3cm,|KSh 400|
Toofn Handbag Bigsize Fashion Tote Bags|Shopping Bag Black F New fashion simple big bag|pu women shoulder bag,|KSh 1-699|KSh 2-999 
12 pairs of Earrings set combination zircon crystal peach heart triangle diamond earrings jewelry gold color one size ,|KSh 220|KSh 342 
Fabric Laundry Basket Storage  For Toy Washing Basket Dirty Clothes Sundries Basket Box Foldable color send at random 31*51 Flexible and Lightweight       
Excellent pop up toy basket     
color: blue orange pink  green  (color send at random),|KSh 149|
Skyworth 32E2A15G-32 Inch Digital LED TV For Sale one 32 >Display size:32"  > Resolution/Frame:1366*766/60Hz   >ATV Receiving System PAL/SECAM BG/DK/I,|KSh 17-500|KSh 34-000 
TAGWOOD MP-2142 2.1 Subwoofer With Bluetooth black pmpo: 5500w MP-2142 Multimedia 2.1 Subwoofer With Bluetooth,|KSh 3-399|
HOT SALE Q18 Smart Watch Bluetooth TF Smart Phone Black one size Elegant Design; Built-in Camera; FM Radio; Bluetooth; Sleeping Monitor; Pedometer; SD Card Reader,|KSh 1-499|KSh 2-999 
TAGWOOD MP-2175 2.1 Subwoofer With Bluetooth Black PMPO: 5500w MP-2175 Multimedia 2.1 Subwoofer With Bluetooth,|KSh 3-699|
AOOTUS Synthetic Hair Extensions Natural wave 18 Inch  2# Black The package comes with 2 pieces and feels like human hair,|KSh 299|KSh 799 
Eyeliner Liquid Pen Pencil Black Waterproof Long Lasting Eye Liner Pens Top Quality as picture ,|KSh 199|KSh 299 
Toofn Handbag 4 Colors Fashion Women Casual Tote Bag PU Leather Handbags Black 100% Brand New & High Quality hand bag for ladies|long strap shoulder bag for girls,|KSh 999|KSh 1-800 
